GRUPO,DEPARTAMEN,PROVINCIA,DISTRITO,hogares_termicos,productores_cobertizo,hectareas_mantas,aulas_calidas,eess_refuerzo,hogares_kit_friaje
ANDES,JUNIN,JAUJA,CANCHAYLLO,0,0,0,0,0,0
ANDES,JUNIN,YAULI,MOROCOCHA,0,0,0,0,0,0
ANDES,JUNIN,YAULI,HUAY-HUAY,0,0,0,0,0,0
ANDES,JUNIN,YAULI,YAULI,0,0,0,0,0,0
ANDES,HUANCAVELICA,HUAYTARA,PILPICHACA,0,0,0,0,0,0
ANDES,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,0,0,0,0,0,0
ANDES,PUNO,SAN ROMAN,SAN MIGUEL,0,0,0,0,0,0
ANDES,PUNO,PUNO,ATUNCOLLA,0,0,0,0,0,0
ANDES,AREQUIPA,CASTILLA,PAMPACOLCA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,CHIVAY,0,0,0,0,0,0
ANDES,AREQUIPA,CASTILLA,CHILCAYMARCA,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,ASILLO,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,SAN JUAN DE SALINAS,0,0,0,0,0,0
ANDES,PUNO,SANDIA,PATAMBUCO,0,0,0,0,0,0
ANDES,JUNIN,YAULI,SANTA ROSA DE SACCO,0,0,0,0,0,0
ANDES,PASCO,PASCO,HUAYLLAY,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,CHUPA,0,0,0,0,0,0
ANDES,APURIMAC,GRAU,VIRUNDO,0,0,0,0,0,0
ANDES,HUANCAVELICA,HUANCAVELICA,LARIA,0,0,0,0,0,0
ANDES,CUSCO,QUISPICANCHI,MARCAPATA,0,0,0,0,0,0
ANDES,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,0,0,0,0,0,0
ANDES,JUNIN,HUANCAYO,HUASICANCHA,0,0,0,0,0,0
ANDES,PUNO,YUNGUYO,COPANI,0,0,0,0,0,0
ANDES,PUNO,YUNGUYO,OLLARAYA,0,0,0,0,0,0
ANDES,JUNIN,JUNIN,JUNIN,0,0,0,0,0,0
